Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
308,12,6011,1824.8433333333328,3,4,3,244,128,3,685,1185,4.0,3,12062,26.822619623699016,180,1,49.57494921489417,81513,3,42380,0
308,12,6011,3093.745000000001,3,4,3,244,128,-1,179,1185,4.0,1,12062,31.94496005538421,86,1,49.57494921489417,7661,4,31503,0
0,12,6011,3093.745000000001,3,4,3,244,128,3,685,4383,4.0,1,12062,28.60935202206993,184,1,49.57494921489417,82226,5,48639,0
308,12,6011,3093.745000000001,3,4,3,244,128,5,570,3906,4.0,1,12062,31.37786186958236,185,1,49.57494921489417,30358,6,11593,0
308,12,6011,1824.8433333333328,3,4,3,244,128,6,179,1185,4.0,1,12062,24.797346908844982,186,1,49.57494921489417,55363,2,51834,0
308,12,6011,3093.745000000001,3,4,3,244,128,8,570,4308,4.0,1,12062,27.26225871052017,187,1,49.57494921489417,70815,0,51550,0
308,12,6011,1824.8433333333328,3,4,3,244,128,3,731,1185,4.0,1,12062,22.53759303178384,188,1,49.57494921489417,25839,6,16515,0
308,12,6011,1824.8433333333328,3,4,3,244,128,3,671,1185,4.0,1,12062,23.93379480196552,86,1,49.57494921489417,37319,2,56144,2
450,15,10300,3037.986666666666,2,4,6,3,684,3,570,3785,2.0,1,10796,24.46403063758457,236,1,18.816214573128885,1916,6,75397,2
429,13,10300,3037.986666666666,2,4,6,3,684,7,8,4072,2.0,1,10796,38.550848433956325,237,1,18.816214573128885,54511,1,76859,0
429,13,10301,3037.986666666666,2,1385,6,3,684,3,0,3785,2.0,3,10796,33.22495078663659,238,1,18.816214573128885,68221,1,74882,2
429,13,10300,3093.745000000001,2,4,6,3,684,3,569,3785,2.0,1,10796,39.18265565546884,229,1,18.816214573128885,90719,5,74790,0
429,13,10300,3037.986666666666,2,4,6,3,684,3,8,3929,2.0,1,10796,34.97789474709241,230,1,18.816214573128885,12236,6,72167,0
429,13,10300,3037.986666666666,2,4,6,3,684,3,6,3785,2.0,1,10796,33.38101020065065,239,1,18.816214573128885,57091,1,76553,0
429,13,10300,3093.745000000001,2,4,6,3,684,3,570,3785,2.0,1,10796,31.131701611553307,240,0,18.816214573128885,75754,2,74715,0
429,13,10300,3037.986666666666,2,4,6,3,684,3,570,3785,2.0,1,10796,32.933856293622235,243,1,18.816214573128885,33903,6,55616,0
555,15,2755,12187.22,1,5,8,211,63,5,705,4026,3.0,1,2066,28.616734823006844,118,1,246.9923194537421,23484,0,709,0
555,4,2755,12187.22,1,5,8,211,63,13,671,4026,3.0,1,2066,41.70257342393906,109,1,246.9923194537421,36257,3,98776,0
555,15,2755,3093.745000000001,1,5,8,211,63,8,685,1166,6.0,1,2066,26.51981539154649,110,1,246.9923194537421,91048,3,90932,0
555,4,2755,12187.22,1,5,8,211,63,8,654,4289,3.0,3,2066,39.50164810812735,86,1,246.9923194537421,82921,5,69474,0
555,15,2755,12187.22,1,5,8,211,63,10,654,4026,3.0,1,2066,31.37614957421204,120,1,246.9923194537421,57339,4,94304,0
555,4,2755,12187.22,1,5,8,425,63,8,671,4026,3.0,1,2066,39.78399345802119,123,1,246.9923194537421,39710,2,98137,0
555,4,2755,12187.22,1,5,8,211,63,8,671,4026,3.0,1,2066,38.068623627698585,124,1,246.9923194537421,40567,3,98219,2
555,4,2755,12187.22,1,5,8,211,63,8,671,4026,3.0,1,2066,38.37475294778511,125,1,246.9923194537421,91048,3,96704,2
1011,5,9030,2612.4908333333333,2,5,4,3,3463,0,671,1046,4.0,1,10948,26.54422872407309,112,1,16.415451659824875,82016,4,70566,2
1011,5,9030,2612.4908333333333,2,5,4,3,3463,5,407,1046,4.0,1,10948,35.279981779008544,113,1,16.415451659824875,10262,6,66763,2
1034,5,9030,2612.4908333333333,2,5,4,3,3463,3,732,1046,4.0,1,10948,32.30116343180253,114,0,16.415451659824875,83132,2,67040,2
1034,5,9031,2612.4908333333333,2,5,4,3,3463,7,671,306,4.0,1,10948,38.132348192570056,115,1,16.415451659824875,41717,6,22575,2
1034,5,9030,2612.4908333333333,2,5,4,3,3463,5,671,176,4.0,1,10948,41.15431654696947,116,1,16.415451659824875,91048,4,56497,2
1034,15,9030,2612.4908333333333,2,5,4,3,3463,5,671,408,4.0,3,10948,27.4454217928553,117,1,16.415451659824875,83888,3,68420,2
1034,5,9030,2612.4908333333333,2,5,4,3,3463,5,179,1046,4.0,1,10948,26.05639527857161,118,1,16.415451659824875,76445,4,71982,2
1034,5,9030,2612.4908333333333,2,5,4,0,3463,4,732,1046,4.0,1,10948,27.33251492755421,109,1,16.415451659824875,10525,3,61048,2
262,2,10526,2853.3091666666664,7,5,5,1,3463,5,179,2257,4.0,2,12885,39.79776423199917,297,2,0.0,42116,0,33178,2
262,2,10525,3093.745000000001,7,5,5,1,3463,9,179,2257,4.0,2,12885,27.02036025389693,298,0,0.0,78291,2,74247,2
262,2,10525,2853.3091666666664,7,5,5,0,3463,5,46,2257,4.0,2,12885,23.462303036448013,289,2,0.0,24721,5,63651,2
262,2,10525,2853.3091666666664,7,5,5,1,3463,1,99,2257,4.0,3,12885,28.924953778098622,290,2,0.0,89548,2,71236,2
262,2,10525,2853.3091666666664,7,5,5,1,3463,9,138,2257,4.0,3,12885,41.77618715055719,299,2,0.0,70974,3,76656,2
262,2,10525,3093.745000000001,7,5,5,2,3463,5,99,2257,4.0,2,12885,29.217556326688413,300,2,0.0,51973,2,78181,2
262,2,10525,2853.3091666666664,7,5,5,1,3463,10,99,2257,4.0,2,12885,26.263822692130155,303,2,0.0,26587,6,63996,2
262,2,10525,2853.3091666666664,7,5,5,0,3463,1,99,2257,4.0,2,12885,25.86292247432155,304,2,0.0,26658,3,57597,2
492,7,16047,3093.745000000001,4,1288,8,1,3463,12,9,1062,2.0,1,10424,39.96268501363903,86,1,15015.0,90418,1,91901,0
492,15,16047,5988.705000000001,4,5,8,1,3463,8,685,1062,2.0,1,10424,42.76986440325711,311,0,0.0,24665,5,90509,0
492,7,16047,5988.705000000001,4,5,8,1,3463,8,685,1062,2.0,1,10424,40.7121865299296,86,1,0.0,18651,2,90184,0
492,7,16047,5988.705000000001,4,5,8,1,3463,8,685,1062,2.0,1,10424,30.201657705809275,315,1,0.0,70572,6,25834,0
492,7,16047,5988.705000000001,4,5,5318,1,3463,11,685,1062,2.0,3,10424,26.33331042687101,316,1,0.0,25762,4,89881,0
492,7,16047,5988.705000000001,4,5,8,1,3463,7,685,1062,2.0,1,10424,35.2754365244368,86,1,15515.0,36622,4,87125,0
492,7,16047,5988.705000000001,4,5,8,1,3463,8,570,4293,2.0,3,10424,36.62479126183764,318,1,0.0,49815,3,79298,2
492,7,16047,5988.705000000001,4,5,8,1,3463,8,685,1062,6.0,1,10424,31.58098966831768,319,1,0.0,56348,0,93844,0
531,7,2085,11242.783333333333,0,1,8,174,1405,0,407,4315,2.0,1,8034,32.200508995391914,296,0,137.6446054014217,52538,2,95765,0
555,7,2085,11242.783333333333,0,1,8,174,1405,-1,200,1642,4.0,1,8034,31.98371000755867,297,1,137.6446054014217,75691,3,82086,0
555,7,2085,10469.207759388815,0,1,8,174,1405,0,407,4315,4.0,1,8034,31.80313449509228,298,0,911.2201793459374,28044,1,630,0
555,7,2085,10469.207759388815,0,1,8,174,1405,0,200,4198,4.0,1,8034,42.64578489930634,289,1,23834.0,48777,2,96785,0
555,7,2085,10469.207759388815,0,1,8,174,1405,0,570,4315,4.0,1,8034,40.902517150451615,290,1,32662.0,40583,1,98127,0
555,7,2085,3093.745000000001,0,1,8,0,1405,0,569,1192,4.0,1,8034,41.98016961054943,299,1,911.2201793459374,84708,1,1851,2
576,7,787,3093.745000000001,0,1,8,174,1405,0,406,4315,4.0,1,8034,26.94756515223988,300,1,911.2201793459374,88299,0,47088,0
555,7,2085,10469.207759388815,0,1,8,174,1405,0,200,4315,4.0,1,8034,29.18791265416669,303,1,911.2201793459374,85402,5,64325,0
1516,10,10056,3093.745000000001,8,7,15,211,3526,30,30,1854,5.0,2,4201,24.44806274625548,86,0,70.47833267207261,22049,4,37140,1
475,10,10055,2611.115,8,7,15,211,3526,30,81,1854,5.0,3,4201,35.171160021263034,81,2,70.47833267207261,52787,1,63654,1
491,10,10055,3093.745000000001,8,7,15,211,3526,31,81,1854,5.0,2,4201,35.11155247196594,82,2,70.47833267207261,30411,4,21997,1
475,15,10055,2611.115,8,7,15,211,3526,34,81,2438,5.0,3,4201,29.76215930632113,73,2,70.47833267207261,34382,6,21696,1
475,15,10055,2611.115,8,7,15,211,3526,27,81,1854,5.0,3,4201,30.206214222610893,74,2,70.47833267207261,91048,1,64504,2
475,10,10055,2611.115,8,7,15,0,3526,30,81,1975,5.0,2,4201,31.17087232096111,83,2,70.47833267207261,91048,0,66895,2
475,10,10055,3093.745000000001,8,7,15,211,3526,30,30,1854,5.0,2,4201,38.438505084064886,84,0,70.47833267207261,66175,3,64146,2
475,10,10055,2611.115,8,7,15,211,3526,30,81,1854,9.0,3,4201,33.82348834412097,87,2,70.47833267207261,43624,2,67018,1
308,3,1077,9843.8675,2,5,7,0,5103,13,30,4186,3.0,1,2666,33.66455429077268,173,1,226.8927919215432,33354,3,94045,0
308,3,1077,9843.8675,2,5,7,211,5103,14,705,4383,3.0,1,2666,27.62632548676964,174,0,226.8927919215432,32904,1,93493,0
308,3,1078,3093.745000000001,2,5,7,211,5103,11,30,4383,3.0,1,2666,35.14156730186042,175,0,226.8927919215432,60570,3,82046,0
308,3,1077,3093.745000000001,2,5,7,211,5103,11,81,4186,8.0,1,2666,30.4590318418306,176,1,226.8927919215432,34970,0,93059,0
308,3,1077,9843.8675,2,5,7,211,5103,11,30,1181,8.0,1,2666,29.819186633421047,177,1,226.8927919215432,72641,3,58399,2
339,3,1077,9843.8675,2,5,7,211,5103,13,81,4186,8.0,3,2666,26.114213868949623,178,0,226.8927919215432,65872,0,77538,0
339,3,1077,9843.8675,2,5,7,211,5103,11,179,4186,8.0,1,2666,31.76751564697107,169,1,226.8927919215432,33404,2,93723,0
363,3,1077,9843.8675,2,5,7,211,5103,11,30,4186,8.0,1,2666,27.813353640375272,170,1,226.8927919215432,39368,1,92000,2
788,6,9242,2825.233333333333,0,5,12,174,4141,4,6,3833,2.0,1,9018,29.51935255713933,86,0,46.61612907334207,19821,3,51849,0
788,6,9242,2825.233333333333,1,6,12,174,4141,2,6,207,2.0,1,9018,28.22048095698559,235,1,46.61612907334207,44580,6,12275,0
